iter	Passed	Remaining
0	2	224
1	4	209
2	6	206
3	8	195
4	10	192
5	12	203
6	14	198
7	16	193
8	18	189
9	20	185
10	22	183
11	24	180
12	26	175
13	28	173
14	30	171
15	32	169
16	34	167
17	37	169
18	39	166
19	40	163
20	43	162
21	44	159
22	46	156
23	49	155
24	50	152
25	53	151
26	54	148
27	57	148
28	59	145
29	61	143
30	63	141
31	65	139
32	68	138
33	70	136
34	72	133
35	73	131
36	75	128
37	76	125
38	78	122
39	79	119
40	81	117
41	82	113
42	83	110
43	85	108
44	86	106
45	88	103
46	89	101
47	91	98
48	92	96
49	94	94
50	96	92
51	98	90
52	99	88
53	101	86
54	102	83
55	103	81
56	104	78
57	105	76
58	106	73
59	107	71
60	108	69
61	109	67
62	110	65
63	111	62
64	112	60
65	113	58
66	114	56
67	116	54
68	117	52
69	117	50
70	118	48
71	119	46
72	120	44
73	120	42
74	121	40
75	123	39
76	125	37
77	126	35
78	127	33
79	128	32
80	129	30
81	130	28
82	130	26
83	131	25
84	132	23
85	132	21
86	133	19
87	134	18
88	135	16
89	135	15
90	136	13
91	137	11
92	139	10
93	140	8
94	141	7
95	142	5
96	142	4
97	143	2
98	144	1
99	145	0
