iter	Passed	Remaining
0	126	126052
1	129	64660
2	133	44318
3	137	34294
4	141	28129
5	145	24092
6	149	21186
7	153	19008
8	157	17297
9	161	16000
10	165	14885
11	168	13910
12	172	13096
13	176	12409
14	179	11792
15	182	11247
16	187	10824
17	190	10402
18	194	10018
19	197	9682
20	201	9395
21	205	9133
22	208	8871
23	212	8635
24	216	8448
25	220	8255
26	223	8066
27	227	7894
28	232	7789
29	236	7652
30	240	7513
31	244	7398
32	248	7275
33	251	7152
34	254	7029
35	258	6923
36	262	6831
37	266	6735
38	269	6643
39	272	6548
40	276	6476
41	280	6395
42	283	6313
43	287	6236
44	291	6178
45	293	6096
46	296	6004
47	298	5919
48	301	5846
49	303	5771
50	306	5698
51	308	5623
52	310	5551
53	312	5478
54	314	5409
55	317	5352
56	319	5292
57	322	5234
58	324	5175
59	326	5115
60	328	5060
61	331	5010
62	333	4961
63	336	4917
64	338	4870
65	340	4825
66	343	4782
67	345	4740
68	348	4702
69	351	4665
70	353	4626
71	356	4589
72	358	4555
73	362	4532
74	364	4497
75	366	4457
76	368	4418
77	370	4381
78	372	4342
79	374	4303
80	376	4269
81	377	4231
82	378	4185
83	380	4146
84	381	4108
85	382	4068
86	383	4028
87	384	3989
88	386	3952
89	387	3915
90	388	3880
91	389	3844
92	390	3809
93	391	3775
94	392	3741
95	393	3707
96	394	3674
97	395	3641
98	396	3612
99	397	3580
100	398	3548
101	399	3517
102	400	3487
103	401	3457
104	402	3426
105	402	3397
106	403	3369
107	404	3340
108	405	3315
109	406	3289
110	407	3263
111	408	3238
112	409	3212
113	409	3185
114	410	3160
115	411	3134
116	411	3108
117	412	3083
118	413	3059
119	414	3036
120	414	3013
121	415	2989
122	416	2967
123	416	2945
124	417	2923
125	418	2901
126	418	2879
127	419	2858
128	420	2839
129	421	2823
130	424	2815
131	431	2838
132	437	2854
133	440	2845
134	442	2837
135	445	2827
136	446	2813
137	448	2800
138	450	2789
139	452	2780
140	454	2767
141	455	2749
142	456	2736
143	457	2721
144	458	2706
145	460	2691
146	461	2676
147	462	2660
148	463	2645
149	464	2631
150	466	2620
151	467	2606
152	468	2593
153	469	2578
154	470	2563
155	471	2549
156	471	2534
157	472	2519
158	473	2504
159	474	2490
160	474	2474
161	475	2461
162	476	2447
163	477	2434
164	478	2420
165	479	2409
166	480	2399
167	481	2385
168	482	2373
169	483	2361
170	484	2348
171	485	2335
172	485	2322
173	486	2309
174	487	2295
175	487	2283
176	488	2270
177	488	2257
178	489	2244
179	490	2232
180	490	2220
181	491	2208
182	492	2196
183	492	2184
184	493	2173
185	494	2162
186	495	2153
187	497	2149
188	504	2163
189	509	2172
190	512	2171
191	515	2168
192	517	2163
193	519	2156
194	520	2149
195	522	2141
196	523	2133
197	525	2128
198	526	2120
199	528	2112
200	529	2103
201	530	2094
202	531	2086
